,customer_id,age,gender,balance,num_of_products,credit_score,tenure,active_member,estimated_salary,has_cr_card,is_primary_account,churn
59,59,61,Other,4424.426901780831,3,712,2,1,107479.59505085877,0,1,1
60,60,51,Male,53582.783944944225,3,386,18,1,37611.887437851125,0,1,1
61,61,79,Male,70623.17042344579,2,782,29,0,104310.05893760342,0,0,0
62,62,31,Female,13052.139942252972,4,357,27,1,19801.383634808855,1,0,0
63,63,65,Female,63894.56218553925,4,439,0,1,115086.0840521277,1,1,1
64,64,32,Male,47694.776618953474,2,471,3,0,65331.73314321788,1,0,1
65,65,89,Male,98734.45001511152,3,559,23,0,119879.57253808266,0,0,0
66,66,79,Male,71747.36092664115,1,794,10,1,76872.73341124423,1,0,1
67,67,57,Male,65747.33351916258,1,324,6,0,22936.227881682113,0,1,0
68,68,70,Other,57044.97348723445,2,497,6,1,16698.085519928187,1,1,0
69,69,41,Male,99736.61815497038,2,722,13,1,31276.07234665461,1,0,1
70,70,43,Male,98045.91708545774,2,417,14,0,56326.38195046008,0,1,0
71,71,77,Male,53811.512549452156,4,305,4,1,92190.861211617,1,0,0
72,72,58,Male,45518.33473342617,3,396,13,0,10078.627464139352,0,0,1
73,73,46,Other,46211.49227017524,3,371,12,0,38308.14559625139,0,1,0
74,74,32,Female,42834.23903233656,2,731,19,0,74632.69468935294,0,1,0
75,75,62,Female,53139.83069963222,1,679,25,1,42767.16995454377,1,0,1
76,76,82,Female,27358.426781437072,4,849,21,1,49263.80077334222,0,0,1
77,77,88,Female,92678.87831144266,2,355,17,1,43083.99302230342,1,1,0
78,78,26,Female,49023.008146193526,4,402,0,0,114850.12111638208,0,1,0
79,79,18,Other,84200.78118386092,2,515,12,1,17241.649440031557,0,0,0
80,80,25,Female,47530.367466762,4,320,22,1,109826.23664843675,0,1,0
81,81,80,Other,71829.0273910243,1,509,28,0,45556.309285733696,0,1,1
82,82,28,Other,33688.196447658,1,590,19,0,37120.13063263707,1,1,0
83,83,25,Female,62480.68577332605,1,487,6,0,107159.5388052818,0,0,0
84,84,52,Female,49837.144545091935,1,450,5,1,41579.28687298365,0,1,0
85,85,52,Female,36711.42565336099,3,490,26,0,118623.1860445441,1,0,0
86,86,50,Male,88155.6261068001,3,706,8,0,70289.64895853997,0,1,1
87,87,22,Other,11271.168274890897,4,513,27,0,62400.917000151705,0,0,0
88,88,58,Female,48692.31483191103,2,777,9,1,117413.57963770183,0,0,0
89,89,45,Male,19436.907326613673,3,493,21,1,34944.355519086705,1,0,0
90,90,24,Other,86105.50912175915,2,549,2,0,109986.6262000169,1,1,1
91,91,89,Male,25346.93447156634,4,340,6,0,75067.7064918279,1,0,1
92,92,29,Male,63343.034011182164,2,669,24,1,93046.44820547508,1,1,1
93,93,51,Female,16556.351508535405,1,319,29,1,74023.7727412919,1,0,0
94,94,50,Other,40491.36694708366,1,308,10,1,78051.33106910058,1,0,1
95,95,65,Male,89935.71956493643,3,502,25,0,27041.3536584651,0,0,0
96,96,40,Other,16606.444440194045,4,317,11,1,26682.8892798565,0,0,0
97,97,79,Female,66319.58253483397,3,618,11,0,53687.270423662165,1,0,0
98,98,54,Other,20451.03705559548,3,581,12,1,48102.816437439076,1,1,0
99,99,61,Male,41574.90525321659,3,775,21,1,88326.64927538935,0,1,0
100,100,52,Male,54061.68843745993,4,551,22,0,89503.64159785396,1,0,0
101,101,82,Other,57730.64181897478,1,639,7,1,72017.1243717082,1,1,0
102,102,64,Male,60251.13375531553,1,761,3,0,54221.01218567452,0,0,1
103,103,20,Male,64013.14153909222,3,700,20,1,84449.05464957646,1,1,0
104,104,18,Male,27176.86976737975,2,670,19,0,85608.01039108686,0,0,1
105,105,22,Female,40136.74857171591,1,581,0,1,99001.213964591,0,1,0
106,106,31,Female,3731.8663575064415,1,689,5,0,99290.32205016582,0,1,0
107,107,44,Male,76875.69765313751,4,636,22,0,17652.387945349612,1,1,0
108,108,26,Other,83709.95017889024,1,644,1,0,51145.65015890635,0,0,0
109,109,32,Female,19923.676348554553,1,818,21,0,56192.21160295769,1,1,0
110,110,59,Other,20144.396462968183,3,572,13,0,103161.7554970991,1,1,0
111,111,68,Male,4203.64021904207,3,552,26,0,65198.856555164624,1,0,0
112,112,80,Male,97038.38227924875,4,673,17,1,63768.63311810493,1,1,0
113,113,69,Other,80718.65681172292,4,305,9,1,70914.94737537985,1,0,0
114,114,21,Female,36070.32029060321,2,713,28,0,23993.552630276303,1,1,0
115,115,40,Other,48190.82714698253,1,797,20,0,72182.6253312231,1,0,0
116,116,32,Other,29196.696065086857,3,355,0,1,70670.1970812655,0,0,1
117,117,60,Male,59724.39683220844,3,697,2,0,92986.80009198876,0,0,1
118,118,46,Female,71730.84123335083,1,537,19,1,79756.85128372948,0,0,1
119,119,53,Other,44736.847799187206,4,789,3,1,115053.30370616794,0,0,0
120,120,30,Female,87359.41932916235,3,321,17,0,18811.150846962202,1,0,0
121,121,49,Male,51702.586221881,4,740,7,0,94881.67360090617,1,0,0
122,122,88,Female,14425.326907781078,3,340,21,0,92665.26239135834,0,0,0
123,123,76,Male,62229.13758376416,3,557,8,0,39627.94262914009,0,1,1
124,124,45,Female,46223.09659078025,2,750,21,1,86840.52972158573,1,1,0
125,125,83,Other,93567.18630817258,3,347,18,1,82525.33725760567,0,1,0
126,126,59,Male,39189.39209359135,1,802,27,0,42857.64510209546,1,1,1
127,127,62,Other,40286.573915010405,1,438,1,0,89616.07542584394,1,0,0
128,128,79,Male,65077.338978161024,1,501,8,1,112371.75767050931,0,1,0
129,129,74,Female,52698.6218326428,4,808,2,0,43574.09042289271,0,0,0
130,130,23,Female,37444.98775384348,3,585,21,1,117809.08920376643,0,1,0
131,131,45,Male,98977.44156800894,4,532,25,0,34671.547236573286,0,0,0
132,132,45,Male,30218.550999941686,2,615,1,1,24810.588116624167,1,0,0
133,133,61,Male,27752.879198502855,3,760,6,1,18475.538312631346,0,1,0
134,134,47,Female,86442.76285221035,1,849,29,1,33505.16917536019,0,0,0
135,135,79,Male,337.29435505555074,2,620,16,1,47676.27798857988,1,0,0
136,136,79,Male,20125.316090490764,2,474,24,0,90647.54861286034,1,0,0
137,137,18,Other,59044.66882619761,3,338,16,0,17921.207637204046,1,1,1
138,138,44,Male,16245.052784466485,1,732,8,1,65799.16778020698,1,1,0
139,139,79,Other,98580.39227235882,4,784,26,1,67061.69485579526,1,1,0
140,140,20,Other,46419.562242163105,3,357,0,1,35073.73397854108,1,1,0
141,141,87,Other,59736.407496055086,1,795,0,0,15000.23247876035,0,1,1
142,142,89,Female,16037.346510519312,2,433,7,0,34763.0924294049,1,1,0
143,143,44,Other,28937.81008719278,3,808,16,0,35342.84659053918,0,0,1
144,144,26,Male,61462.47826794156,2,455,7,0,85682.6128007029,0,1,0
145,145,79,Female,54955.33732863976,1,500,18,0,35715.7404582203,1,1,0
146,146,54,Female,78436.3945441166,4,798,3,1,47429.06120394097,1,1,0
147,147,68,Female,26923.317857431615,4,701,17,0,15217.295714105981,1,0,0
148,148,61,Female,65354.2146706534,2,795,12,0,78634.05948290434,1,1,0
149,149,41,Female,29097.550574886543,2,787,21,0,62155.81316349636,0,0,0
150,150,76,Female,58675.26197461204,2,459,6,0,47946.641715405116,1,0,0
151,151,49,Female,60503.09676852086,3,510,25,1,87316.83792544148,1,0,0
152,152,69,Other,12183.911135448878,1,752,2,1,85033.40883828084,0,0,0
153,153,79,Male,54863.31106862661,2,369,13,1,46069.78718238088,1,1,0
154,154,75,Male,1193.8299954182496,2,613,8,0,88034.84163172402,1,1,0
155,155,69,Other,50121.07513746915,2,730,2,1,48303.09006752439,0,1,0
156,156,29,Other,69752.1888608075,4,681,6,1,34419.920178620574,0,0,0
157,157,56,Female,7283.272898998872,2,466,14,0,89181.28365394287,1,0,1
158,158,19,Female,93871.08164170271,1,690,3,1,90082.83086964044,0,0,0
159,159,20,Other,45875.55319894543,4,618,4,0,105234.36322711065,1,1,1
160,160,73,Female,93841.6275624062,1,416,27,1,65103.86765075922,1,0,1
161,161,76,Male,10739.84236911325,4,811,8,0,35561.68698881499,0,1,0
162,162,19,Male,94990.25944195347,4,502,2,1,102058.67770185602,0,0,0
163,163,19,Female,10919.709942534671,3,461,15,1,29213.364118968904,0,1,0
164,164,71,Female,46149.5798451336,4,761,15,0,113247.494634656,0,1,0
165,165,18,Female,93799.20667268656,4,500,18,1,43731.88842308702,1,0,0
166,166,36,Male,23270.820038887152,1,530,24,0,12063.926374011915,1,1,0
167,167,19,Female,3478.4980858734048,1,815,8,1,30544.29539159156,1,0,0
168,168,70,Other,79311.06750282209,2,505,28,0,55627.10219841552,0,1,1
169,169,61,Female,59588.363766900984,3,630,19,1,16070.823414284127,1,1,0
170,170,49,Other,51392.119290144066,4,646,0,1,55047.30753237856,0,0,0
171,171,87,Female,3434.3384353218376,3,648,16,1,32317.0290628201,0,0,0
172,172,49,Female,65323.12688068451,2,459,11,0,12084.976504907212,0,1,0
173,173,85,Male,17162.33518845648,3,551,8,0,42890.712548194184,0,0,0
174,174,72,Other,93119.66802046954,4,521,21,0,34893.50100694448,1,1,1
175,175,73,Other,68572.6951075682,1,693,4,1,56173.56995574314,1,1,0
176,176,34,Other,70703.38880338366,3,695,28,0,93491.68553103323,0,1,0
177,177,55,Male,23258.027261128045,4,466,27,0,66075.31050039045,1,1,0
178,178,41,Other,88075.38380567184,2,751,14,1,94487.17919584608,0,1,0
179,179,86,Male,53773.2570783201,4,437,25,0,47034.71458567392,1,1,0
180,180,87,Female,85708.41778142305,3,509,12,0,11450.305262863061,1,0,1
181,181,28,Female,27094.7474832276,4,513,18,0,111439.04532467513,1,0,1
182,182,33,Other,75546.17130982461,4,659,2,1,44618.59572355182,0,1,0
183,183,76,Female,57456.69036600475,3,534,1,0,67956.54011526763,0,0,0
184,184,87,Female,4841.930581058163,3,696,12,0,61613.616682101194,1,1,0
185,185,20,Other,40534.23237732869,2,603,6,0,74139.3590367079,1,1,0
186,186,37,Female,18391.046512346486,4,408,8,1,107346.05137937608,1,0,0
187,187,76,Other,35917.35878787561,1,689,21,0,105396.89529058053,0,0,0
188,188,53,Other,38335.163426522246,3,419,9,1,117913.32494167222,1,0,0
189,189,36,Female,47492.83530283847,4,509,0,0,68120.61926494581,1,0,0
190,190,84,Female,60029.04427284631,1,726,21,1,111471.06129336968,0,0,0
191,191,36,Female,57097.765249819924,1,843,15,0,63069.52591368155,1,1,0
192,192,37,Female,3899.140470499507,4,629,10,0,14884.422316368702,1,1,0
193,193,88,Female,75068.92184887218,4,525,23,1,26081.435440304536,1,0,0
194,194,69,Male,94918.38844727683,4,446,7,1,46738.46804294571,1,0,0
195,195,50,Female,34868.12889849667,1,639,29,0,89800.34235151595,0,0,0
196,196,57,Male,17974.690133825854,4,479,25,0,18950.86526435669,1,0,1
197,197,56,Other,54000.15631153853,3,589,12,0,49770.71718324175,1,1,0
198,198,18,Female,70491.29282441441,1,486,15,0,118059.71516019887,0,0,0
199,199,28,Female,67890.48945276633,3,785,2,0,96424.84139042335,0,0,0
200,200,74,Female,61210.95775008583,3,636,12,0,72919.5295851173,1,1,0
201,201,67,Other,14623.225212820857,4,407,16,1,16794.727852129643,0,0,1
202,202,40,Male,83682.48944029983,3,425,20,1,11608.080393339493,0,0,0
203,203,48,Male,42562.15624188153,4,333,5,1,21577.305943761858,0,0,0
204,204,59,Female,22146.858303187,1,737,9,1,45984.30540907093,1,1,0
205,205,24,Female,8626.61410630965,3,575,8,0,76703.26805540288,0,1,0
206,206,33,Female,41671.9114973049,4,793,17,1,31722.818214531446,0,0,0
207,207,77,Female,61797.304684730734,2,481,29,1,15626.6181686971,0,1,0
208,208,19,Other,66537.77091515077,4,538,16,1,19993.31553843916,1,1,0
209,209,18,Female,96273.69113972568,2,647,6,1,56947.44470252359,0,1,1
210,210,65,Other,15314.808366375742,4,445,1,0,95043.97158328154,1,1,0
211,211,29,Female,98577.3665197552,2,343,10,1,100319.63056783882,1,0,0
212,212,86,Male,65467.58805722279,3,798,17,1,42015.76576198568,0,1,0
213,213,54,Male,45422.90577072014,2,594,2,0,82978.198341802,1,1,0
214,214,49,Female,88819.42258481593,3,830,13,0,53198.07917669322,1,1,0
215,215,26,Female,69447.97419533928,3,510,19,1,116976.39738459227,1,1,1
216,216,36,Other,34871.72148570152,4,701,12,1,54545.701031686105,1,1,0
217,217,65,Female,88408.56965764616,3,530,22,1,53549.39935110392,0,1,0
218,218,20,Female,66661.54568195349,1,638,16,0,65172.43746802577,1,0,0
219,219,37,Female,69883.73557942195,2,304,28,1,12805.278301039758,1,0,0
220,220,41,Male,89638.98880860262,4,610,21,0,55972.11078039053,0,0,0
221,221,71,Other,44841.620796905525,3,461,10,0,101157.88157854236,1,0,0
222,222,50,Male,65690.41059597566,2,515,6,1,77329.02161711438,0,0,0
223,223,41,Other,74468.90216377804,2,470,2,1,116636.31851249485,0,0,0
224,224,89,Male,45394.005813078154,1,551,2,0,45818.5177947687,0,1,0
225,225,53,Female,8345.211573779343,2,337,1,0,27767.67163060448,0,0,0
226,226,55,Male,77143.97690943607,4,527,20,0,92563.4013792978,0,0,0
227,227,42,Male,4781.635274336182,4,577,15,0,14802.269076341963,1,1,0
228,228,35,Other,71791.44017227383,3,584,22,0,27551.1460214749,1,1,0
229,229,83,Other,91087.5208524553,3,809,10,0,65764.47040823987,0,1,0
230,230,71,Male,34696.899837001845,4,665,27,1,92889.25270202413,1,1,1
231,231,52,Other,10206.178513782683,2,367,13,1,76106.69823008963,0,1,0
232,232,78,Other,23286.39897908411,2,403,2,1,119438.1825210869,1,1,0
233,233,58,Other,56228.15641253924,1,700,6,1,82043.4445666231,1,0,0
234,234,50,Other,94265.97431060864,3,545,7,0,89746.40769306352,0,0,0
235,235,85,Other,51228.27298861168,2,491,12,0,119330.75956884427,0,1,0
236,236,50,Male,11273.728819669626,2,595,18,1,75170.877880276,1,1,1
237,237,31,Other,62778.3173716338,3,443,10,1,88608.0199670877,0,1,0
238,238,38,Female,73284.49367879414,4,325,0,1,42816.03469331158,1,0,1
239,239,65,Male,39328.3669992791,2,550,18,1,69043.10690412749,1,1,0
240,240,37,Male,72151.40643454145,1,492,12,1,110314.76477394033,1,1,0
241,241,25,Male,32482.281513918977,2,680,21,0,103865.41495990835,1,1,1
242,242,24,Other,78909.01515964133,2,301,16,0,43691.67067468968,1,0,0
243,243,84,Female,34107.2159570069,1,344,8,1,49293.96790065978,1,0,0
244,244,34,Other,25610.709160062594,4,302,18,1,103101.09705706166,0,1,1
245,245,50,Male,87918.1405891575,1,748,18,1,41314.13026943963,1,0,0
246,246,65,Male,54847.34211753962,1,434,27,1,107637.9765093478,0,1,0
247,247,76,Male,28515.628874168477,3,590,22,1,95114.63869814217,1,1,0
248,248,39,Male,93508.68896470673,2,577,22,1,26759.21305520223,1,1,0
249,249,47,Other,69085.11754660492,4,475,28,1,89174.14781064908,1,0,0
250,250,55,Female,22070.03996555672,2,581,5,1,101775.95849707031,1,1,0
251,251,68,Female,61464.23545927806,4,419,6,0,25877.702738158358,0,0,0
252,252,71,Male,87035.88312890245,1,473,4,1,60308.36854584443,0,1,0
253,253,25,Female,69615.31425400575,3,738,7,1,104889.09800480092,0,0,0
254,254,44,Male,24475.915076013043,1,758,25,1,31851.500865941976,1,0,0
255,255,44,Male,64884.83286945148,2,640,13,0,59399.805895498335,1,1,0
256,256,38,Female,61915.937272020084,3,420,17,1,77404.72312334998,1,1,1
257,257,47,Male,82084.36635786887,3,792,20,0,20697.7595350225,0,0,0
258,258,45,Female,17813.25969966998,2,575,26,1,33326.13669957663,0,0,0
259,259,81,Male,69963.46670013599,4,328,24,0,61340.34143722149,1,0,0
260,260,86,Female,2737.0692133702023,3,543,19,0,51104.94916379377,1,1,0
261,261,78,Male,69617.53006357676,4,620,23,1,45725.359017469855,0,1,0
262,262,65,Female,96043.7303938557,4,651,2,1,12900.370188899386,0,0,1
263,263,36,Male,17438.826624961745,4,831,21,1,112072.84687455632,1,1,0
264,264,21,Male,31129.97728190089,3,380,7,0,105856.50812352763,0,0,0
265,265,52,Male,58287.15720285512,1,592,13,0,53188.14272764976,0,0,1
266,266,81,Female,73239.50458572556,3,593,24,1,29951.24418589379,0,1,0
267,267,66,Other,34437.13904045343,1,796,13,0,17595.034396928007,1,1,0
268,268,34,Male,66425.89771401376,3,757,28,1,23550.66684253598,1,1,0
269,269,61,Male,89927.8792536333,1,359,6,0,76222.47602120625,0,0,0
270,270,47,Female,72655.87872242619,1,842,5,1,90730.89142522658,1,1,0
271,271,63,Male,71102.27176022441,3,679,26,1,27206.41767471537,1,0,0
272,272,23,Male,38197.06584166159,4,623,5,0,22406.95143483343,1,0,1
273,273,54,Male,91142.93088382008,4,361,11,0,86018.67608451977,0,1,0
274,274,41,Male,27732.294196107778,1,445,21,0,66872.4571522768,1,1,0
275,275,63,Other,20528.03566197007,2,661,14,0,50902.0382549982,0,1,0
276,276,70,Other,36422.39337265039,2,352,25,0,89747.69683484828,1,0,0
277,277,77,Male,65015.6220738494,3,701,24,1,60124.47675303065,1,1,0
278,278,80,Male,86167.79861945068,3,748,18,1,61163.379584296395,1,0,0
279,279,49,Male,13207.878234731706,3,382,3,0,11731.538517332729,0,0,0
280,280,50,Other,81380.2177260163,2,678,2,0,44761.01586209458,0,0,0
281,281,84,Other,81282.33946689952,4,757,12,0,10553.809970316004,1,1,1
282,282,35,Female,58691.93565900861,3,380,24,1,111623.20442285867,1,1,0
283,283,42,Female,76064.79395780257,3,813,15,1,42333.30000466517,1,1,0
284,284,71,Male,18188.069815158735,4,608,12,1,29857.209997233273,0,0,0
285,285,75,Male,16958.60008207134,1,793,29,1,19998.702698482855,0,0,0
286,286,84,Other,86280.00341287271,3,535,20,1,15129.960003342965,1,0,0
287,287,63,Male,49814.843723456695,2,336,29,1,107461.00244380544,0,1,1
288,288,41,Male,24593.721425284908,2,624,9,1,28536.412835179184,1,1,0
289,289,49,Other,68873.03576063237,3,355,12,0,77923.33405091036,0,0,0
290,290,64,Other,89187.51669342209,2,420,7,1,81633.99200803689,1,0,1
291,291,40,Other,63232.26459442498,4,613,11,1,44929.88908919771,1,0,1
292,292,83,Other,34734.50429400172,1,510,7,1,101657.07803583205,1,0,0
293,293,44,Female,48323.77652930145,1,402,8,1,33543.3283866918,1,0,0
294,294,19,Other,75226.94609453395,3,738,9,0,17860.376134829166,1,0,1
295,295,34,Other,6750.122887238752,3,337,6,0,17539.613640521242,0,1,0
296,296,50,Male,21716.451595644226,1,713,2,0,43046.950962052695,0,0,1
297,297,26,Male,46258.318664944716,1,523,4,0,60957.11406674916,0,1,1
298,298,60,Male,60424.09640970987,3,592,2,1,79229.95311755985,1,0,1
299,299,65,Female,33916.559104232445,2,454,17,0,90157.91298167763,0,0,1
300,300,56,Other,29839.09218698807,3,331,18,1,29656.00451818073,0,1,0
301,301,59,Other,4138.4195699721295,4,533,27,0,85231.53362822272,1,1,0
302,302,43,Female,3260.177205144754,3,788,9,0,30079.405745612385,1,1,0
303,303,67,Other,27869.48543028256,3,632,8,0,119691.23431578894,1,1,0
304,304,42,Male,53050.6100089543,3,316,24,1,115497.48545208955,1,0,0
305,305,41,Female,55637.149644541154,3,713,23,0,21264.823898471455,0,0,0
306,306,30,Other,49402.749286686885,3,539,6,0,82063.2101400723,1,0,1
307,307,77,Female,40988.06840028343,3,585,0,0,109359.35822245346,1,0,0
308,308,24,Female,25229.158926132077,2,645,24,1,18877.267371630594,1,1,0
309,309,74,Other,40069.44315927822,3,674,9,1,23637.9673020867,1,0,0
310,310,53,Male,13875.99653855135,1,315,1,1,48169.736183518966,0,1,0
311,311,62,Other,11525.922902603681,3,559,5,1,20530.135299302023,1,0,0
312,312,37,Other,29994.32568137914,2,660,25,1,107415.13677024192,0,0,0
313,313,82,Male,99534.87964272196,4,698,20,0,106309.93279071257,1,1,0
314,314,25,Other,32649.694751639847,1,759,5,1,114358.39510313093,0,0,0
315,315,33,Other,93645.63903551052,3,815,23,0,32549.12893066375,1,0,1
316,316,31,Other,39226.2145767694,3,384,7,1,14988.631176930749,1,1,0
317,317,32,Female,43900.999119960936,1,362,25,0,58909.07741498523,1,0,0
318,318,83,Female,79706.28832022296,3,399,17,1,106860.86147164913,1,0,0
319,319,49,Female,9363.83274474567,2,594,6,0,80229.14791986256,1,0,0
320,320,80,Other,18231.33235936395,3,461,17,1,119814.88574563223,1,1,0
321,321,68,Male,97384.02649752147,4,477,0,1,109625.53728233092,1,1,1
322,322,42,Female,50591.733996069466,2,743,27,1,53202.54780302893,0,0,1
323,323,75,Male,4430.968220863029,3,627,23,0,14348.638212891354,0,0,0
324,324,80,Other,4738.07330560505,4,627,24,1,10568.843458708427,1,0,1
325,325,79,Female,90724.06837773927,1,341,13,0,80862.67637966886,0,0,1
326,326,39,Other,87336.50895587176,2,541,22,0,110734.25231119497,0,1,0
327,327,75,Male,45839.910694510014,3,641,19,1,58865.32071522273,0,1,0
328,328,75,Female,16322.208594459875,3,390,6,0,106172.1281546873,1,1,0
329,329,66,Female,83028.46063624797,1,327,19,1,72341.49622080817,1,0,0
330,330,69,Female,32460.01072796505,1,758,6,0,20782.164555164523,1,1,1
331,331,59,Female,41905.839866309536,2,684,3,1,97814.6902682563,1,1,0
332,332,87,Male,68247.6379049318,2,786,29,0,64185.343711867885,0,0,1
333,333,32,Female,35339.83534076544,2,519,29,0,15617.029383862948,1,1,0
334,334,71,Other,62866.992669829306,3,563,24,1,99606.39248637036,0,0,0
335,335,77,Female,88528.27104425844,3,420,4,1,93341.97027112874,1,0,1
336,336,25,Male,79737.32687744775,2,345,22,0,60301.59842889962,1,0,1
337,337,70,Female,38161.107386716045,3,579,26,0,12141.066050249374,1,1,0
338,338,77,Male,28793.65547037348,1,414,23,1,48163.03973636055,0,1,0
339,339,22,Male,28551.0448739559,4,467,20,0,57844.58871478965,1,0,0
340,340,85,Other,34859.1150376583,3,734,0,0,28184.636901473805,0,1,0
341,341,23,Female,49351.69867247723,2,545,19,0,27699.531797782856,1,1,0
342,342,64,Female,41659.74806939431,3,783,2,0,28367.889170061033,0,0,0
343,343,72,Female,13300.402098765784,1,674,12,0,50763.478881507624,1,1,0
344,344,57,Other,16345.585833390829,2,579,6,1,99929.8440508268,0,1,0
345,345,69,Other,34292.96093981834,4,321,5,0,93529.32157775939,1,0,0
346,346,33,Male,56206.41000588573,2,367,5,1,11112.583633149,1,0,0
347,347,30,Male,59266.39501334947,2,357,1,0,11060.68757712306,1,1,1
348,348,47,Male,48620.706489663,2,826,15,1,18546.60755921128,1,0,0
349,349,36,Other,73877.58812075146,3,563,5,1,61323.99647783282,1,0,0
350,350,34,Other,73724.87887567366,4,722,7,1,107777.0426760154,1,0,0
351,351,80,Other,42762.74716873886,1,798,20,0,30048.28283228207,0,1,0
352,352,36,Male,12444.081076094426,3,590,24,0,62447.54468262064,0,0,0
353,353,75,Other,53017.47697671232,4,468,10,1,14482.22253841137,1,0,1
354,354,72,Male,38146.90639938326,4,761,17,0,12235.90948801615,0,1,1
355,355,79,Male,13792.298976370332,3,652,22,1,10823.053542340975,0,1,0
