Body,Sentiment,Date,Rating,Clean_Body,Tema_Dominante
"Muy buena y todo Pero debe arreglar el acceso a la entrada literal siempre me dice ""algo sucedió mal ' y ya llevo días así y nunca lo arreglan....",negative,30/09/2023,1,buen deb arregl acces entrad literal siempr dic suced mal llev dias asi nunc arregl,1
Me gusta porque así es más fácil y práctico.,positive,30/09/2023,5,gust asi facil practic,1
Con la actualización no deja entrar me sale la notificación que no encuentra mi ubicación GPS porquería de app,negative,29/09/2023,1,actualiz dej entrar sal notif encuentr ubic gps porqu app,3
No funciona al 100,negative,29/09/2023,2,funcion,1
"Falla mucho, no me deja entrar a la app",negative,29/09/2023,1,fall dej entrar app,3
Es una herramienta útil y fácil para cerrar y seguro con todo los procesos...,positive,29/09/2023,5,herramient util facil cerr segur proces,2
"La app empezo siendo buena pero ahora me dice que cambie de numero de celular cuando que no es asi tengo el mismo número registrado desde hace tiempo y ahora me dice desde hace una semana qur mis datos no coinciden y que vaya una sucursal y en dicha sucursal me dicen que ellos no pueden checar nada referente a la app que mal que pase todo esto por que entorpecen el dia a dia de nosotros que por medio de esta banca pagamos muchas cosas, ojala resuelvan esto pronto",negative,29/09/2023,1,app empez siend buen ahor dic cambi numer celul asi mism numer registr hac tiemp ahor dic hac seman qur dat coincid vay sucursal dich sucursal dic pued chec referent app mal pas entorpec dia dia medi banc pag much cos ojal resuelv pront,0
No sirve,negative,29/09/2023,1,sirv,0
Exelente servicio y se adapta a uno,positive,29/09/2023,3,exelent servici adapt,0
Buena,positive,29/09/2023,5,buen,4
NOMAS LEDOY ESA XQ NOSIRVE NOKIERE ABRIR LA PUERCA APLICACIÓN YANOMAS Q YO PUEDA IR AUNA SUCURSAL LAVOY ADAR DEVAJA NOLA NECESITO SINOKIERE ABRIR NOMEINPORTA Y POES LAVERDAD NOMEINPORTA PERDER LOQ TENGO AHI DE DINERO YANOMEINPORTAQ SEPIERDA PERO LAVOY ADAR DEVAJA ASI BLOKIADA NOMESIRVE PARA NADA,negative,29/09/2023,1,nom ledoy xq nosirv nokier abrir puerc aplic yanom q pued ir aun sucursal lavoy adar devaj nol necesit sinokier abrir nomeinport poes laverd nomeinport perd loq ahi diner yanomeinportaq sepierd lavoy adar devaj asi bloki nomesirv,0
Bueno,positive,29/09/2023,5,buen,4
Buen servicio y sobre todo pagos cómodos desde la comodidad de tu hogar,positive,29/09/2023,5,buen servici pag comod comod hog,1
Este tipo de app no debería de existir no se puede entrar estaba mejor la otra app deberían mejorar la app este tipo de app estresa porque note da opción para entrar,negative,29/09/2023,1,tip app deb exist pued entrar mejor app deb mejor app tip app estres not da opcion entrar,3
Tengo problemas con mi aplicacion desde ayer no me deja entrar segun no puede actualizar mi ubicacion o coneccion de internet pero tengo otra aplicaciones de bancos y trabajan sin problemas,negative,29/09/2023,1,problem aplicacion ayer dej entrar segun pued actualiz ubicacion coneccion internet aplic banc trabaj problem,0
Excelente servicio,positive,29/09/2023,5,excelent servici,2
Ni siquiera te da acceso.,negative,29/09/2023,1,siqu da acces,4
Exelente,positive,29/09/2023,5,exelent,0
Lo más mediocre que he usado sin duda,neutral,29/09/2023,2,mediocr usad dud,0
Esmuy Rápido todo yaorro mastienpo enmis transasiones,positive,29/09/2023,5,esmuy rap yaorr mastienp enmis transasion,4
"Se tarda un chingo en cargar la app y abrir la actualice pensando en que era por eso y ahora se tarda el doble en abrir, va de mal en peor",negative,29/09/2023,1,tard ching carg app abrir actualic pens ahor tard dobl abrir va mal peor,3
Porquería de aplicación!!!!,negative,29/09/2023,1,porqu aplic,1
Muy bueno,positive,29/09/2023,5,buen,4
Una porquería de aplicacion,negative,29/09/2023,1,porqu aplicacion,1
Se batalla mucho con la aplicacion,negative,29/09/2023,1,batall aplicacion,1
Exelente,positive,29/09/2023,5,exelent,0
"Una basura desde la última actualización, me pide un montón de datos que ya hasta se me olvidaron pero la rata bien que se pudo robar $400??",negative,29/09/2023,1,basur ultim actualiz pid monton dat olvid rat bien pud rob,1
No me deja ingresar y necesito hacer mis pagos.,negative,29/09/2023,1,dej ingres necesit hac pag,4
Es pésima la aplicación tarda muchísimo tiempo en abrir para hacer cualquier movimiento es tiempo perdido cuando se requiere entrar y últimamente falla mucho su sistema deberían actualizar y resolver ese problema de lo demás es buena aplicación,negative,29/09/2023,2,pesim aplic tard muchisim tiemp abrir hac cualqui movimient tiemp perd requier entrar ultim fall sistem deb actualiz resolv problem demas buen aplic,2
Excelente,positive,28/09/2023,5,excelent,2
"Porqueria de App no sirve en los dispositivos y acaba rato se cae, es la peor Apple de banco que existe que pésimo mantenimiento por parte de la empresa -5 estrellas",negative,28/09/2023,1,porqueri app sirv disposit acab rat cae peor apple banc exist pesim manten part empres estrell,3
"Falla constantemente, no permite transferir",negative,28/09/2023,3,fall constant permit transfer,4
"Quiero sacar el dinero que tengo en ""Apartados"" y no aparece ni si quiera la opción de consultar los apartados que tengo",negative,28/09/2023,1,quier sac diner apart aparec si quier opcion consult apart,3
Faltan mejoras pero cumple con su función,positive,28/09/2023,3,falt mejor cumpl funcion,1
"Muy mal ahora,antes era sencillo utilizarla pero cada actualización solo la entorpecen, tengo que ir a dos horas de mi casa a qué me activen la app, por seguridad mía active mi app en el teléfono de mi esposo y ahora ya no puedo hacer nada que fastidio de verdad",negative,28/09/2023,2,mal ahor sencill utiliz cad actualiz sol entorpec ir dos hor cas activ app segur activ app telefon espos ahor pued hac fastidi verd,3
"Le daría menos, osea tengo que reinstalar mi app por cambio de equipo no tengo tiempo para ir a la sucursal, me gustaba esta app por que era rápida y ahora haces todo más pesado, seguro mañana cambio de banco",negative,28/09/2023,1,dar men ose reinstal app cambi equip tiemp ir sucursal gust app rap ahor hac pes segur mañan cambi banc,3
Buena app pero tarda mucho en abrir la aplicación ya debieron hacer algo con eso.,negative,28/09/2023,1,buen app tard abrir aplic deb hac,2
"Acabo de reinstalar mi app, y ahora resulta que tengo que ir a sucursal, en vez de hacer procesos más rápidos y eficaces lo haces más tedioso, no tengo cerca una sucursal y ahora tendré que manejar una hora, cuando antes solo ponía mis datos y listo podía hacer mis operaciones",negative,28/09/2023,1,acab reinstal app ahor result ir sucursal vez hac proces rap eficac hac tedios cerc sucursal ahor manej hor sol pon dat list pod hac oper,3
"Desde la actualización, tarda cargando",negative,28/09/2023,1,actualiz tard carg,4
Excelente,positive,28/09/2023,5,excelent,2
Más segura rapidez y una tienda coppel más serca,positive,28/09/2023,5,segur rapidez tiend coppel serc,3
"Pésima app siempre falla y te bloquea la banca en línea, en pocas palabras sirve cuando le da la gana",negative,28/09/2023,1,pesim app siempr fall bloque banc line poc palabr sirv da gan,2
Siempre me sale error 000014,negative,28/09/2023,1,siempr sal error,1
De maravilla,positive,28/09/2023,5,maravill,2
Ama de casa,positive,28/09/2023,5,ama cas,3
Muy mala aplicación,negative,28/09/2023,1,mal aplic,2
Siempre falla,negative,28/09/2023,1,siempr fall,1
No sirve no me deja entrar la app,negative,28/09/2023,1,sirv dej entrar app,4
Super,positive,28/09/2023,5,sup,3
"Después de esta actualización, cuando quiero enviar dinero me pide que active mi app en alguna tienda bancoopel y me aparece error 000917",negative,28/09/2023,2,despues actualiz quier envi diner pid activ app algun tiend bancoopel aparec error,2
Bueno por la facilidad de uso,mixed,28/09/2023,1,buen facil uso,4
Excelente no se me dificulta,positive,28/09/2023,5,excelent dificult,2
"Por mis clientes tengo que usar seguido este banco, pero es súper primitivo, uno tiene que poner el horario de antes para poder usar la app y eso te confunde a cada rato, es súper molesto.",negative,28/09/2023,1,client usar segu banc sup primit pon horari pod usar app confund cad rat sup molest,3
En general está bien. . Solo que es muy lenta de iniciar .,positive,28/09/2023,5,general bien sol lent inici,4
Pretty much every other banking app destroys this . It's embarrassing that this is the best they can come up with. It's a great representation of what this bank has to offer,negative,28/09/2023,1,pretty much every other banking app destroys this it s embarrassing that this is the best they can com up with it s great representation of what this bank to offer,2
Ami si me gusta,neutral,28/09/2023,4,ami si gust,3
No puedo abrir la aplicación de bancoppel Porque será?,mixed,28/09/2023,5,pued abrir aplic bancoppel,2
Asco de app no me deja ingresar y pongo mis datos bien me manda a sucursal,negative,28/09/2023,1,asco app dej ingres pong dat bien mand sucursal,3
Es una aplicación que no funciona bien para todo tienes que ir ala sucursal a perder Tiempo... y para acabarla el pésimo servicio que los supuestos ejecutivos dan es pésimo,negative,28/09/2023,1,aplic funcion bien ir ala sucursal perd tiemp acab pesim servici supuest ejecut dan pesim,2
Muy bien la aplicación,positive,28/09/2023,5,bien aplic,1
muy buena,positive,28/09/2023,5,buen,4
No puedo ingresar,negative,27/09/2023,1,pued ingres,4
Tengo 3 días intentando bajar la aplicación y no me deja que puedo hacer,negative,27/09/2023,1,dias intent baj aplic dej pued hac,2
Acabo de solicitar la tarjeta y me dice que los datos están mal y que tengo que ir a sucursal y no da más detalles.,negative,27/09/2023,2,acab solicit tarjet dic dat mal ir sucursal da detall,3
No me deja iniciar sesión,negative,27/09/2023,1,dej inici sesion,3
Si puede arreglar eso por favor lo necesito ayuda Ni para traferir a otros tarjeta no agarra nada,negative,27/09/2023,2,si pued arregl favor necesit ayud trafer tarjet agarr,2
"Pésima, no genera cvvs dinámicos, y no puedo comprar en linea",negative,27/09/2023,1,pesim gener cvvs dinam pued compr line,2
Es una porquería,negative,27/09/2023,1,porqu,1
No me deja entrar a mi cuenta,negative,27/09/2023,1,dej entrar cuent,4
Excelente me ahorro bastante tiempo,positive,27/09/2023,5,excelent ahorr bastant tiemp,2
Ya puedo hacer transferencias de nuevo. La aplicación esta muy bien. En sucursal me activaron la banca por cambio de teléfono.,neutral,27/09/2023,5,pued hac transferent nuev aplic bien sucursal activ banc cambi telefon,0
Es pésima porque no te dejan hacer transferencia y ni puedes pagar por internet ya que cambian el código de seguridad,negative,27/09/2023,1,pesim dej hac transferent pued pag internet cambi codig segur,2
"Pésima app no me deja abrir , me dice intenté mañana y nada ya fui a sucursal y tampoco",negative,27/09/2023,1,pesim app dej abrir dic intent mañan sucursal tampoc,2
Muy bien gracias,positive,27/09/2023,4,bien graci,1
Me marca que en mi dispositivo podría ya no funcionar de una manera correcta pero no sé si sea porque la aplicación ocupa mucho espacio tengo un oppo a77 alguien le pasa lo mismo,negative,27/09/2023,1,marc disposit podr funcion maner correct se si aplic ocup espaci oppo algui pas mism,0
"La app está bien pero es una basura porquería con la hora, sigue diciendo que tengo mal la hora cuando el horario está bien, es pir el cambio de horario, una chingadera",negative,27/09/2023,1,app bien basur porqu hor sig dic mal hor horari bien pir cambi horari chingader,3
"Pésima aplicación, lenta en ocasiones ni siquiera permite abrir o realizar movimientos, deberían tener una mejor app",negative,27/09/2023,1,pesim aplic lent ocasion siqu permit abrir realiz movimient deb ten mejor app,2
"En mi caso se tarda mucho para entrar, al pedir contraseña pide activar ubicación estando ya activada la ubicación y no permite entrar",negative,27/09/2023,3,cas tard entrar ped contraseñ pid activ ubic activ ubic permit entrar,3
"Muy lenta para poder cargar, una vez dentro de la app no aparece información de tu cuenta, muy mal en cada actualización, deben trabajar mas en ello!",negative,27/09/2023,1,lent pod carg vez dentr app aparec inform cuent mal cad actualiz deb trabaj mas ello,2
La aplicación no funciona necesito la versión anterior ...me urge la aplicación no me habré...urge respuesta,negative,27/09/2023,2,aplic funcion necesit version anterior urge aplic urge respuest,2
"Yo no entiendo porque no tienen también menos 20 o menos miles me tienen hasta la joroba no entiendo porque se la pasan actualizando aplicación si no sirve para nada está actualización ni muchas más son fatales... la primera versión era la perfecta te lo juro que hasta eh llorado noches enteras, si no fuera la más práctica para mis hijos para remesas se los juro que ni pronunciar a ni su nombre Estoy apunto decir que los tengo aborrecidos .",negative,27/09/2023,1,entiend men men mil jorob entiend pas actualiz aplic si sirv actualiz much fatal primer version perfect jur eh llor noch enter si practic hij remes jur pronunci nombr apunt dec aborrec,0
Excelente apps todo muy claro y facil,positive,27/09/2023,5,excelent apps clar facil,1
No me deja entrar a brir la aplicación,negative,27/09/2023,2,dej entrar brir aplic,0
"Era buena, después de una actualización ya no me deja entrar.",negative,27/09/2023,1,buen despues actualiz dej entrar,4
"Pésima app nunca quiere abrir, es un problema checar tu saldo cuando de suerte se digna a abrir, las transferencias tardan hasta 2 días en pasar ????",negative,27/09/2023,1,pesim app nunc quier abrir problem chec sald suert dign abrir transferent tard dias pas,2
"Iba funcionando bien, pero este último mes, no me deja transferir me salta un mensaje de ""acude a una sucursal"" ya acudí, tres veces y no me solucionan, creo que mejor cambiaré mi nómina a otro banco, ya que ocupo realizar transferencias y no me lo permite.",negative,27/09/2023,1,iba funcion bien ultim mes dej transfer salt mensaj acud sucursal acud tres vec solucion cre mejor cambi nomin banc ocup realiz transferent permit,3
"Es buena aun que en la noche no deja realizar algunas cosas, a veces tarda mucho en cargar y estaría bien que pusieran un botón para ocultar la cantidad de dinero que se tiene en la cuenta.",neutral,27/09/2023,3,buen aun noch dej realiz cos vec tard carg bien pus boton ocult cantid diner cuent,4
Pésimo servicio,negative,27/09/2023,1,pesim servici,2
Gracias de lujo,positive,27/09/2023,5,graci luj,1
Yo no es apto para mi cel pesimo servicio por ahora,negative,27/09/2023,1,apto cel pesim servici ahor,3
Me.urge hacer una transferencia y lleva horas que no sirve la aplicación,negative,26/09/2023,1,urge hac transferent llev hor sirv aplic,2
Muy buena,positive,26/09/2023,4,buen,4
"Es una buena aplicación fácil de usar y rara vez falla, con esto te evitas de filas en el banco y me encanta poder pagar mi tarjeta de crédito desde aquí, transferencias rápidas , revisar movimientos y recargas de saldo a celular muy fácil. ??",positive,26/09/2023,5,buen aplic facil usar rar vez fall evit fil banc encant pod pag tarjet credit aqu transferent rap revis movimient recarg sald celul facil,1
La actualización lo echó a perder todo...,negative,26/09/2023,1,actualiz echo perd,3
Buena aplicación,positive,26/09/2023,5,buen aplic,4
Mi banca me pide actualizar lo actualice y ahora no quiere habrir porque me dice que se actualizo de una forma no segura,negative,26/09/2023,1,banc pid actualiz actualic ahor quier habr dic actualiz form segur,3
Estoy batallando mucho para entrar Ami cuenta,negative,26/09/2023,1,batall entrar ami cuent,4
Buena y excelente apo,positive,26/09/2023,5,buen excelent apo,4
"Buena facilidad para usar la app, sin embargo hace poco más de un mes que no la puedo usas ya que siempre que quiero hacer un pago me pide activarla en alguna tienda Coppel, en donde a su vez me dicen que no puede hacer nada al respecto que solo es cosa de esperar a UE algún día vuelva a la normalidad",negative,26/09/2023,3,buen facil usar app embarg hac mes pued usas siempr quier hac pag pid activ algun tiend coppel vez dic pued hac respect sol cos esper ue algun dia vuelv normal,4
"Es muy lenta, la actualice y no pude abrir la aplicación. Es una aplicación muy mala.",negative,26/09/2023,1,lent actualic pud abrir aplic aplic mal,2
Es buena llevo rato usándola pero ahora no me deja hacer nada no puedo enviar dinero ni algún otro movimiento todo la echaron a perder,negative,26/09/2023,1,buen llev rat usandol ahor dej hac pued envi diner algun movimient echaron perd,3
N puedo entrar,mixed,26/09/2023,5,n pued entrar,4
Muy tardado y se traba,negative,26/09/2023,1,tard trab,2
Me Gusta sus opiniones,positive,26/09/2023,5,gust opinion,1
Hhj,positive,26/09/2023,5,hhj,0
Muy mal me dice que active la apps y no se que tiene pero me empezó a fallar de repente ??,negative,26/09/2023,1,mal dic activ apps empez fall repent,3
"Bien , solo falta autorizar préstamo más rápidos",positive,26/09/2023,5,bien sol falt autoriz prestam rap,4
Buen servicio aplicacion igual,positive,26/09/2023,5,buen servici aplicacion igual,4
Muy eficiente y disponible las 24/7 ????????????,positive,26/09/2023,5,eficient dispon,4
"Pésima aplicación. Tarda en abrir, se sale de repente la aplicación y hay que volver abrir. No ofrece abrir con huella y esta muy limitada. Nada recomendable.",negative,26/09/2023,1,pesim aplic tard abrir sal repent aplic volv abrir ofrec abrir huell limit recomend,2
No recomendó esta application ni el banco. No ofrecen servicios basicos que tienen los otros y la aplicación es inútil,negative,26/09/2023,2,recomend application banc ofrec servici basic aplic inutil,2
"Solo abrí la cuenta para las remesas y no me deja cobrarlas, 1 estrella nada más por que no puedo ponerle 0",negative,26/09/2023,1,sol abri cuent remes dej cobr estrell pued pon,3
Pésima app??,negative,26/09/2023,1,pesim app,2
Aplicación muy práctica,positive,26/09/2023,5,aplic practic,2
Excelente servicio,positive,26/09/2023,5,excelent servici,2
"Tengo una semana intentando entrar a la app pero no me deja cuando no es un error es otro el más recurrente es que no detecta mi ubicación, es una lástima antes trabajaba muy bien",negative,26/09/2023,2,seman intent entrar app dej error recurrent detect ubic lastim trabaj bien,2
La aplicación para mí es una porquería tengo como dos años si poderla usar y e ido alas oficinas que me la arregle y no ellas pueden que porque siempre está saturada como ven? Nada puedo hacer .,negative,26/09/2023,1,aplic porqu dos años si pod usar ido alas oficin arregl pued siempr satur ven pued hac,2
"He tenido muchos problemas con las operaciones de transferencias, acudí 2 veces personalmente a sucursales y ni así solucionan el problema",negative,26/09/2023,1,problem oper transferent acud vec personal sucursal asi solucion problem,0
Pues la aplicación a veces se cierra de la nada y últimamente es frecuente qué no me deje hacer transferencias.,negative,26/09/2023,2,pues aplic vec cierr ultim frecuent dej hac transferent,0
No me deja hacer transferencias que vaya a la sucursal y cuando voy me dicen que no es con ellos que la aplicación esta actualizando se pero ya lleva 15 días así,negative,25/09/2023,1,dej hac transferent vay sucursal voy dic aplic actualiz llev dias asi,0
Always faulty,negative,25/09/2023,1,always faulty,3
Muy buena aplicación ??,positive,25/09/2023,5,buen aplic,4
No cumple con sus funciones,negative,25/09/2023,1,cumpl funcion,1
Excelente,positive,25/09/2023,5,excelent,2
"Lamentablemente, son pocas las veces que he podido accesar siempre tiene fallas ahora no puedo entrar a la app porque dice que descargue la app desde un lugar no seguro y lo descargue en app store ni al caso!!",negative,25/09/2023,1,lament poc vec pod acces siempr fall ahor pued entrar app dic descarg app lug segur descarg app stor cas,3
Yo e tenido muy bonita en BanCoppel atienden muy bien,positive,25/09/2023,5,bonit bancoppel atiend bien,1
Constantemente falla la aplicación,negative,25/09/2023,3,constant fall aplic,1
"Se bloquea el uso de la cuenta completamente si se instala en un dispositivo nuevo. O sea no se puede descomponer el teléfono en el extranjero porque estos imbeciles te bloquean todo. Y su call center sirve para pura verga y nadie puede hacer nada para desbloquear la cuenta, solo una sucursal.",negative,25/09/2023,1,bloque uso cuent complet si instal disposit nuev pued descompon telefon extranjer imbecil bloqu call cent sirv pur verg nadi pued hac desbloqu cuent sol sucursal,0
No se puede actualizar,negative,25/09/2023,1,pued actualiz,2
Excelentes,positive,25/09/2023,5,excelent,2
UI8,positive,25/09/2023,5,ui,3
Eslente,positive,25/09/2023,5,eslent,4
"No vale madre esta aplicación, por cualquier cosa no carga ni la pantalla de acceso, se queda empezando, siempre ha tenido problemas su plataforma de banco",negative,25/09/2023,1,val madr aplic cualqui cos carg pantall acces qued empez siempr problem plataform banc,0
Mrd,negative,25/09/2023,1,mrd,0
Asepsional,positive,25/09/2023,5,asepsional,2
Kew de wowq 4,positive,25/09/2023,5,kew wowq,4
Exelente,positive,25/09/2023,5,exelent,0
The best,positive,25/09/2023,5,the best,0
Es muy buena,positive,25/09/2023,5,buen,4
Útil en mi espacio,positive,25/09/2023,4,util espaci,2
Hay de todo y te dan buena atención y los precios de locura venga y servidores UD mismo coopel me conviene,neutral,25/09/2023,5,dan buen atencion preci locur veng servidor ud mism coopel convien,0
"Al reinstalar la aplicación y seguir todos los pasos, pide ir a sucursal a que me activen la app, siendo que es un proceso que ya hice La aplicación es un asco",negative,25/09/2023,1,reinstal aplic segu pas pid ir sucursal activ app siend proces hic aplic asco,3
Muy bien,positive,25/09/2023,5,bien,1
"Ya cada vez que cambio de CEL me o ligan a inventar una contraseña, con dificultad me memorizo la actual, no pueden hacer algo para conservar la que tengo en cualquier dispositivo que use?",negative,25/09/2023,1,cad vez cambi cel lig invent contraseñ dificult memoriz actual pued hac conserv cualqui disposit use,3
Es una pésima aplicación no tiene para hacer transferencia y además no te llega donde y cuando te gastaste a tu correo,negative,25/09/2023,1,pesim aplic hac transferent ademas lleg gast corre,2
Sigue mejorando para q no aya excusas,positive,25/09/2023,4,sig mejor q aya excus,0
Muy buena app,positive,24/09/2023,5,buen app,4
Buena aplicación ??,positive,24/09/2023,5,buen aplic,4
Bien,positive,24/09/2023,5,bien,1
es buena la app solo una sugerencia podrían agregar recargas redicoppel si es complicado recargar saldo,positive,24/09/2023,5,buen app sol sugerent podr agreg recarg redicoppel si complic recarg sald,4
Tarda mucho en cargar y tiene mucha publicidad.,negative,24/09/2023,1,tard carg much public,4
Excelente gracias,positive,24/09/2023,5,excelent graci,1
"Me gusta la aplicación, lo malo es que coppelMax dejo de funcionar y estaba muy padre pero desapareció.",neutral,24/09/2023,4,gust aplic mal coppelmax dej funcion padr desaparec,1
Un buen banco,positive,24/09/2023,5,buen banc,4
Asta el momento me a funcionado muy bien hace poco que la descargue,positive,24/09/2023,5,asta moment funcion bien hac descarg,1
No sirve,negative,24/09/2023,1,sirv,0
Excelente aplicación ??,positive,24/09/2023,4,excelent aplic,2
Muy bien funciona bien,positive,24/09/2023,5,bien funcion bien,1
"La actualización que realizaron garrafal, pésima, ya no puedo utilizar la app bancoopel no la recomiendo Mis datos ya fueron verificados en bancoopel y están correctos con respecto a la tarjeta No me funciona dice que los datos son incorrectos",negative,24/09/2023,1,actualiz realiz garrafal pesim pued utiliz app bancoopel recom dat verific bancoopel correct respect tarjet funcion dic dat incorrect,1
Es molesto cambiar la hora cada que entras para realizar una operación. Deberían arreglar ese detalle.,negative,24/09/2023,1,molest cambi hor cad entras realiz oper deb arregl detall,2
Tengo ploblemas usad el app me dice que mis datos no coinsiden y que espere 24 horas poder intentarlo la ultima vez esas 23 horas fue casi un mes,mixed,24/09/2023,5,ploblem usad app dic dat coinsid esper hor pod intent ultim vez hor casi mes,3
Excelente ??,positive,24/09/2023,5,excelent,2
Excelente,positive,24/09/2023,5,excelent,2
Apesar de ser un banco de muy poco tiempo nunca e tenido problemas no me cobran por manejar la cuenta no descuentan por diferentes operaciones y la aplicación siempre bien lo más importante no se mescla con la tienda departamental si tienes atraso en pagos como en otra tienda,mixed,24/09/2023,4,apes ser banc tiemp nunc problem cobr manej cuent descuent diferent oper aplic siempr bien import mescl tiend departamental si atras pag tiend,1
Bien gracias ?? ????,positive,24/09/2023,5,bien graci,1
Realmente su ícono de la llave amarilla no es así en la práctica.,neutral,24/09/2023,1,realment icon llav amarill asi practic,2
Es una porqeria su aplicación es una porqeria no sirve.,negative,24/09/2023,1,porqeri aplic porqeri sirv,2
"Ya chafeo, no se que tanto le mueven que ya está lentisima tengo intentar varias veces para entrar a la app",negative,24/09/2023,1,chafe muev lentisim intent vari vec entrar app,2
"Ya es una porquería su aplicación, al momento de transferir se queda retenido el dinero, hasta parece maña del banco para robarselo...",negative,24/09/2023,1,porqu aplic moment transfer qued reten diner parec mañ banc rob,1
Excelente muy seguro y práctica ??,positive,24/09/2023,5,excelent segur practic,2
"Pésima , no puedo hacer ningún movimiento",negative,24/09/2023,1,pesim pued hac ningun movimient,2
Pésima aplicación tienes que ir a una tienda para poder activarla y te pide muchos permisos para todo espero y mejoren porque asta hoy es la peor aplicación,negative,24/09/2023,1,pesim aplic ir tiend pod activ pid permis esper mejor asta hoy peor aplic,2
"Desde que cambié de celular no he podido ingresar, primero me decía que acudiera a la sucursal y ahora ni eso sale solo se queda cargando. Y en las sucursales donde eh ido no saben que hacer y no dan solución.",negative,24/09/2023,1,cambi celul pod ingres primer dec acud sucursal ahor sal sol qued carg sucursal eh ido sab hac dan solucion,0
Porquería,negative,24/09/2023,1,porqu,1
Se traba mucho y es muy tardada te pide configurar la hora no le veo sentido??,negative,24/09/2023,1,trab tard pid configur hor veo,2
"Un asco de aplicación, y servicio deficiente",negative,24/09/2023,1,asco aplic servici deficient,0
No me funciona no me deja usar el código cvv en la aplicación ?? no funciona,negative,24/09/2023,1,funcion dej usar codig cvv aplic funcion,1
Atención,neutral,24/09/2023,5,atencion,1
Esta de l v g,negative,24/09/2023,1,l v g,0
