Rating,Date,Body,Sentiment
2,2023-09-28,"Después de esta actualización, cuando quiero enviar dinero me pide que active mi app en alguna tienda bancoopel y me aparece error 000917",negative
1,2023-09-28,Bueno por la facilidad de uso,mixed
5,2023-09-28,Excelente no se me dificulta,positive
1,2023-09-28,"Por mis clientes tengo que usar seguido este banco, pero es súper primitivo, uno tiene que poner el horario de antes para poder usar la app y eso te confunde a cada rato, es súper molesto.",negative
5,2023-09-28,En general está bien. . Solo que es muy lenta de iniciar .,positive
1,2023-09-28,Pretty much every other banking app destroys this . It's embarrassing that this is the best they can come up with. It's a great representation of what this bank has to offer,negative
4,2023-09-28,Ami si me gusta,neutral
5,2023-09-28,No puedo abrir la aplicación de bancoppel Porque será?,mixed
1,2023-09-28,Asco de app no me deja ingresar y pongo mis datos bien me manda a sucursal,negative
1,2023-09-28,Es una aplicación que no funciona bien para todo tienes que ir ala sucursal a perder Tiempo... y para acabarla el pésimo servicio que los supuestos ejecutivos dan es pésimo,negative
5,2023-09-28,Muy bien la aplicación,positive
5,2023-09-28,muy buena,positive
1,2023-09-27,No puedo ingresar,negative
1,2023-09-27,Tengo 3 días intentando bajar la aplicación y no me deja que puedo hacer,negative
2,2023-09-27,Acabo de solicitar la tarjeta y me dice que los datos están mal y que tengo que ir a sucursal y no da más detalles.,negative
1,2023-09-27,No me deja iniciar sesión,negative
2,2023-09-27,Si puede arreglar eso por favor lo necesito ayuda Ni para traferir a otros tarjeta no agarra nada,negative
1,2023-09-27,"Pésima, no genera cvvs dinámicos, y no puedo comprar en linea",negative
1,2023-09-27,Es una porquería,negative
1,2023-09-27,No me deja entrar a mi cuenta,negative
5,2023-09-27,Excelente me ahorro bastante tiempo,positive
5,2023-09-27,Ya puedo hacer transferencias de nuevo. La aplicación esta muy bien. En sucursal me activaron la banca por cambio de teléfono.,neutral
1,2023-09-27,Es pésima porque no te dejan hacer transferencia y ni puedes pagar por internet ya que cambian el código de seguridad,negative
1,2023-09-27,"Pésima app no me deja abrir , me dice intenté mañana y nada ya fui a sucursal y tampoco",negative
4,2023-09-27,Muy bien gracias,positive
1,2023-09-27,Me marca que en mi dispositivo podría ya no funcionar de una manera correcta pero no sé si sea porque la aplicación ocupa mucho espacio tengo un oppo a77 alguien le pasa lo mismo,negative
1,2023-09-27,"La app está bien pero es una basura porquería con la hora, sigue diciendo que tengo mal la hora cuando el horario está bien, es pir el cambio de horario, una chingadera",negative
1,2023-09-27,"Pésima aplicación, lenta en ocasiones ni siquiera permite abrir o realizar movimientos, deberían tener una mejor app",negative
3,2023-09-27,"En mi caso se tarda mucho para entrar, al pedir contraseña pide activar ubicación estando ya activada la ubicación y no permite entrar",negative
1,2023-09-27,"Muy lenta para poder cargar, una vez dentro de la app no aparece información de tu cuenta, muy mal en cada actualización, deben trabajar mas en ello!",negative
2,2023-09-27,La aplicación no funciona necesito la versión anterior ...me urge la aplicación no me habré...urge respuesta,negative
1,2023-09-27,"Yo no entiendo porque no tienen también menos 20 o menos miles me tienen hasta la joroba no entiendo porque se la pasan actualizando aplicación si no sirve para nada está actualización ni muchas más son fatales... la primera versión era la perfecta te lo juro que hasta eh llorado noches enteras, si no fuera la más práctica para mis hijos para remesas se los juro que ni pronunciar a ni su nombre Estoy apunto decir que los tengo aborrecidos .",negative
5,2023-09-27,Excelente apps todo muy claro y facil,positive
2,2023-09-27,No me deja entrar a brir la aplicación,negative
1,2023-09-27,"Era buena, después de una actualización ya no me deja entrar.",negative
1,2023-09-27,"Pésima app nunca quiere abrir, es un problema checar tu saldo cuando de suerte se digna a abrir, las transferencias tardan hasta 2 días en pasar ????",negative
1,2023-09-27,"Iba funcionando bien, pero este último mes, no me deja transferir me salta un mensaje de ""acude a una sucursal"" ya acudí, tres veces y no me solucionan, creo que mejor cambiaré mi nómina a otro banco, ya que ocupo realizar transferencias y no me lo permite.",negative
3,2023-09-27,"Es buena aun que en la noche no deja realizar algunas cosas, a veces tarda mucho en cargar y estaría bien que pusieran un botón para ocultar la cantidad de dinero que se tiene en la cuenta.",neutral
1,2023-09-27,Pésimo servicio,negative
5,2023-09-27,Gracias de lujo,positive
1,2023-09-27,Yo no es apto para mi cel pesimo servicio por ahora,negative
1,2023-09-26,Me.urge hacer una transferencia y lleva horas que no sirve la aplicación,negative
4,2023-09-26,Muy buena,positive
5,2023-09-26,"Es una buena aplicación fácil de usar y rara vez falla, con esto te evitas de filas en el banco y me encanta poder pagar mi tarjeta de crédito desde aquí, transferencias rápidas , revisar movimientos y recargas de saldo a celular muy fácil. ??",positive
1,2023-09-26,La actualización lo echó a perder todo...,negative
5,2023-09-26,Buena aplicación,positive
1,2023-09-26,Mi banca me pide actualizar lo actualice y ahora no quiere habrir porque me dice que se actualizo de una forma no segura,negative
1,2023-09-26,Estoy batallando mucho para entrar Ami cuenta,negative
5,2023-09-26,Buena y excelente apo,positive
3,2023-09-26,"Buena facilidad para usar la app, sin embargo hace poco más de un mes que no la puedo usas ya que siempre que quiero hacer un pago me pide activarla en alguna tienda Coppel, en donde a su vez me dicen que no puede hacer nada al respecto que solo es cosa de esperar a UE algún día vuelva a la normalidad",negative
1,2023-09-26,"Es muy lenta, la actualice y no pude abrir la aplicación. Es una aplicación muy mala.",negative
1,2023-09-26,Es buena llevo rato usándola pero ahora no me deja hacer nada no puedo enviar dinero ni algún otro movimiento todo la echaron a perder,negative
5,2023-09-26,N puedo entrar,mixed
1,2023-09-26,Muy tardado y se traba,negative
5,2023-09-26,Me Gusta sus opiniones,positive
5,2023-09-26,Hhj,positive
1,2023-09-26,Muy mal me dice que active la apps y no se que tiene pero me empezó a fallar de repente ??,negative
5,2023-09-26,"Bien , solo falta autorizar préstamo más rápidos",positive
5,2023-09-26,Buen servicio aplicacion igual,positive
5,2023-09-26,Muy eficiente y disponible las 24/7 ????????????,positive
1,2023-09-26,"Pésima aplicación. Tarda en abrir, se sale de repente la aplicación y hay que volver abrir. No ofrece abrir con huella y esta muy limitada. Nada recomendable.",negative
2,2023-09-26,No recomendó esta application ni el banco. No ofrecen servicios basicos que tienen los otros y la aplicación es inútil,negative
1,2023-09-26,"Solo abrí la cuenta para las remesas y no me deja cobrarlas, 1 estrella nada más por que no puedo ponerle 0",negative
1,2023-09-26,Pésima app??,negative
5,2023-09-26,Aplicación muy práctica,positive
5,2023-09-26,Excelente servicio,positive
2,2023-09-26,"Tengo una semana intentando entrar a la app pero no me deja cuando no es un error es otro el más recurrente es que no detecta mi ubicación, es una lástima antes trabajaba muy bien",negative
1,2023-09-26,La aplicación para mí es una porquería tengo como dos años si poderla usar y e ido alas oficinas que me la arregle y no ellas pueden que porque siempre está saturada como ven? Nada puedo hacer .,negative
1,2023-09-26,"He tenido muchos problemas con las operaciones de transferencias, acudí 2 veces personalmente a sucursales y ni así solucionan el problema",negative
2,2023-09-26,Pues la aplicación a veces se cierra de la nada y últimamente es frecuente qué no me deje hacer transferencias.,negative
1,2023-09-25,No me deja hacer transferencias que vaya a la sucursal y cuando voy me dicen que no es con ellos que la aplicación esta actualizando se pero ya lleva 15 días así,negative
1,2023-09-25,Always faulty,negative
5,2023-09-25,Muy buena aplicación ??,positive
1,2023-09-25,No cumple con sus funciones,negative
5,2023-09-25,Excelente,positive
1,2023-09-25,"Lamentablemente, son pocas las veces que he podido accesar siempre tiene fallas ahora no puedo entrar a la app porque dice que descargue la app desde un lugar no seguro y lo descargue en app store ni al caso!!",negative
5,2023-09-25,Yo e tenido muy bonita en BanCoppel atienden muy bien,positive
3,2023-09-25,Constantemente falla la aplicación,negative
1,2023-09-25,"Se bloquea el uso de la cuenta completamente si se instala en un dispositivo nuevo. O sea no se puede descomponer el teléfono en el extranjero porque estos imbeciles te bloquean todo. Y su call center sirve para pura verga y nadie puede hacer nada para desbloquear la cuenta, solo una sucursal.",negative
1,2023-09-25,No se puede actualizar,negative
5,2023-09-25,Excelentes,positive
5,2023-09-25,UI8,positive
5,2023-09-25,Eslente,positive
1,2023-09-25,"No vale madre esta aplicación, por cualquier cosa no carga ni la pantalla de acceso, se queda empezando, siempre ha tenido problemas su plataforma de banco",negative
1,2023-09-25,Mrd,negative
5,2023-09-25,Asepsional,positive
5,2023-09-25,Kew de wowq 4,positive
5,2023-09-25,Exelente,positive
5,2023-09-25,The best,positive
5,2023-09-25,Es muy buena,positive
4,2023-09-25,Útil en mi espacio,positive
5,2023-09-25,Hay de todo y te dan buena atención y los precios de locura venga y servidores UD mismo coopel me conviene,neutral
1,2023-09-25,"Al reinstalar la aplicación y seguir todos los pasos, pide ir a sucursal a que me activen la app, siendo que es un proceso que ya hice La aplicación es un asco",negative
5,2023-09-25,Muy bien,positive
1,2023-09-25,"Ya cada vez que cambio de CEL me o ligan a inventar una contraseña, con dificultad me memorizo la actual, no pueden hacer algo para conservar la que tengo en cualquier dispositivo que use?",negative
1,2023-09-25,Es una pésima aplicación no tiene para hacer transferencia y además no te llega donde y cuando te gastaste a tu correo,negative
4,2023-09-25,Sigue mejorando para q no aya excusas,positive
5,2023-09-24,Muy buena app,positive
5,2023-09-24,Buena aplicación ??,positive
5,2023-09-24,Bien,positive
5,2023-09-24,es buena la app solo una sugerencia podrían agregar recargas redicoppel si es complicado recargar saldo,positive
1,2023-09-24,Tarda mucho en cargar y tiene mucha publicidad.,negative
5,2023-09-24,Excelente gracias,positive
4,2023-09-24,"Me gusta la aplicación, lo malo es que coppelMax dejo de funcionar y estaba muy padre pero desapareció.",neutral
5,2023-09-24,Un buen banco,positive
5,2023-09-24,Asta el momento me a funcionado muy bien hace poco que la descargue,positive
1,2023-09-24,No sirve,negative
4,2023-09-24,Excelente aplicación ??,positive
5,2023-09-24,Muy bien funciona bien,positive
1,2023-09-24,"La actualización que realizaron garrafal, pésima, ya no puedo utilizar la app bancoopel no la recomiendo Mis datos ya fueron verificados en bancoopel y están correctos con respecto a la tarjeta No me funciona dice que los datos son incorrectos",negative
1,2023-09-24,Es molesto cambiar la hora cada que entras para realizar una operación. Deberían arreglar ese detalle.,negative
5,2023-09-24,Tengo ploblemas usad el app me dice que mis datos no coinsiden y que espere 24 horas poder intentarlo la ultima vez esas 23 horas fue casi un mes,mixed
5,2023-09-24,Excelente ??,positive
5,2023-09-24,Excelente,positive
4,2023-09-24,Apesar de ser un banco de muy poco tiempo nunca e tenido problemas no me cobran por manejar la cuenta no descuentan por diferentes operaciones y la aplicación siempre bien lo más importante no se mescla con la tienda departamental si tienes atraso en pagos como en otra tienda,mixed
5,2023-09-24,Bien gracias ?? ????,positive
1,2023-09-24,Realmente su ícono de la llave amarilla no es así en la práctica.,neutral
1,2023-09-24,Es una porqeria su aplicación es una porqeria no sirve.,negative
1,2023-09-24,"Ya chafeo, no se que tanto le mueven que ya está lentisima tengo intentar varias veces para entrar a la app",negative
1,2023-09-24,"Ya es una porquería su aplicación, al momento de transferir se queda retenido el dinero, hasta parece maña del banco para robarselo...",negative
5,2023-09-24,Excelente muy seguro y práctica ??,positive
1,2023-09-24,"Pésima , no puedo hacer ningún movimiento",negative
1,2023-09-24,Pésima aplicación tienes que ir a una tienda para poder activarla y te pide muchos permisos para todo espero y mejoren porque asta hoy es la peor aplicación,negative
1,2023-09-24,"Desde que cambié de celular no he podido ingresar, primero me decía que acudiera a la sucursal y ahora ni eso sale solo se queda cargando. Y en las sucursales donde eh ido no saben que hacer y no dan solución.",negative
1,2023-09-24,Porquería,negative
1,2023-09-24,Se traba mucho y es muy tardada te pide configurar la hora no le veo sentido??,negative
1,2023-09-24,"Un asco de aplicación, y servicio deficiente",negative
1,2023-09-24,No me funciona no me deja usar el código cvv en la aplicación ?? no funciona,negative
5,2023-09-24,Atención,neutral
1,2023-09-24,Esta de l v g,negative
1,2023-09-23,"si pudiera no le diera ni una sola estrella esta aplicación bancaria es un chiste, pide permisos para cosas sin sentido como el micrófono o cámara, por si no fuera poco la aplicación pide que acudas a la sucursal para darle uso a la misma aplicación (cosa que no pasa en otras aplicaciones bancarias), además de esto a la hora de hacer compras online el código dinámico CVV no funciona y al acudir a la sucursal varias veces ni ellos mismos saben el problema, un chiste de aplicación sin dudas....",negative
1,2023-09-23,"Pésimo, se que ahora quieren tener más seguridad en la banca electrónica pero a los que tenemos a 2 horas la sucursal más cercana de coppel se me dificulta acudir para que me activen la banca, yo antes lo hacía desde mi celular sin problemas cuando cambiaba mi dispositivo y ahora tengo mi dinero retenido hasta que pueda ir a gastar más de 400 pesos en transporte a sus sucursales, gracias bancoppel.",negative
1,2023-09-23,"Después de los permisos ,no hace mas,ahí estoy encerrada!",negative
4,2023-09-23,??,positive
4,2023-09-23,La verdad es inecesario que cada que configure la app tenga que ir a una sucursal.de verian implementar un dato biometrico de detección facial,mixed
1,2023-09-23,"Una porquería de app, siempre con el mismo problema nunca solucionan nada.",negative
5,2023-09-23,"Muy buena la aplicación, estoy satisfecha con ella",positive
5,2023-09-23,Muy excelente en todo,positive
5,2023-09-23,Muy práctico y fácil de mover,positive
4,2023-09-23,Me está fallando por el tema de la hora,mixed
5,2023-09-23,Excelente,positive
1,2023-09-23,"Pésima aplicación, no puedo pagar en línea, se traba, arreglen ese detalle, mejor dicho ese detallote.????",negative
1,2023-09-23,Muy mala la instale en mi nuevo celular y pongo todos los paso todo coinside y x ultimo me dice que la contraseña ya fue utilizada y no me deja entrar ya me oa bloqueo,negative
1,2023-09-23,No pongo ninguna estrella por que para mi no merece ninguna simplemente no sirve es una aplicación muy mala,negative
1,2023-09-23,No esta funcionando,negative
5,2023-09-23,Coppel mejora mí vida ??,positive
1,2023-09-23,"Esta app pide permisos de todo, ni bancos internacionales piden tantos datos del teléfono como ellos, gran fallo de seguridad.",negative
5,2023-09-23,Excelente,positive
5,2023-09-23,Es buena,positive
1,2023-09-23,??Estaba funcionando muy bien y ya tiene unos meses fallando y la verdad es una lastima por qué si era muy buena aplicación. ?? Hacía mis pagos y todo sin salir de casa o en cualquier emergencia pero ahora no es posible.,negative
5,2023-09-23,Muy buena aplicación,positive
5,2023-09-23,Excelente,positive
5,2023-09-23,Super fácil y cómodo de usar y muy ??,positive
2,2023-09-23,Desde un tiempo para aca ya no envia notificaciones cuando llegan depositos o realizas pagos.,negative
3,2023-09-23,"Tiene todo para ser chingona la App de BANCOPPEL pero generalmente está muy lenta, tarda mucho en entrar/abrir. Creó que 3 ? es mucho, pero como digo está muy completa solo es eso tarda años luz en cargarce. En verdad que son contadas las veces que trabajando manera eficiente. Ahí programadores pónganle más atención . Jajaja y hasta para captar está opinión está cargando y no termina de cargar jajaja se pasan. Ojo chavos.",negative
1,2023-09-23,"¿Cómo que activar la app bancoppel en una sucursal?, el chiste es ahorrarse la ida para hacer todo desde línea y sale igual.",negative
4,2023-09-23,Hasta ahora me ha funcionado bien.,positive
2,2023-09-23,Muy bien la app pero empesó a no darme acceso para entrar y ya le ententé hasta poniendo los datos y no mas no.,negative
1,2023-09-23,No me deja registrar dice que operación no disponible desde hace mucho y aun no lo solucionan,negative
1,2023-09-23,Esta aplicación ya no funciona,negative
1,2023-09-23,"Es una porquería de aplicación ?? la verdad ni sirve, a pero no fuera para subir precios por que eso siempre. Mejor pasen a guardar su dinero en el colchón.",negative
2,2023-09-23,Se supone que hace unas 2 semanas me apareció las recompensas de Coppel Max pero en esta semana dejaron de aparecer y se supone que deberían de estar,negative
1,2023-09-22,"Tengo mucho tiempo usando la app, todo había funcionado muy bien, asta que empezaron a pedir permisos para cosas que la app ni usa, y ese filtro de que si cambias de equipo celular tienes que acudir a una sucursal para activar la aplicación, ya estas entrando con tus datos personales como #telefónico, fecha de nacimiento, correo electrónico, en mi caso no tengo una sucursal serca y no me es redituable hacer viaje a México solo por activar la aplicación, lo mejor será cambiar de banco.",negative
5,2023-09-22,Que buena aplicación,positive
5,2023-09-22,Excelente,positive
1,2023-09-22,"desde que me dieron la tarjeta por el simple material me parecio mala, hoy fui a sucursal a dar de alta el contrato para acceder y uff una app muy precaria, sin duda 0 recomendable y si es posible mejor busquen otra opcion, la app no es nada accesible para pagar y en lugar de poder pagar directamente te pide que deposites a tu cuenta para pagar de esa cuenta a tu tarjeta (como si no fuera mas rapido solo depositar a tu tarjeta)",negative
1,2023-09-22,"No me ayudó con mí problema de enviar dinero, y ni me contestó llamada telefónica.",negative
5,2023-09-22,Excelente rápida y eficiente,positive
5,2023-09-22,Muy buena aplicación,positive
5,2023-09-22,Exelente aplicacion,positive
1,2023-09-22,No puedo ingresar ala app,negative
5,2023-09-22,Buena,positive
5,2023-09-22,excelente,positive
4,2023-09-22,Es un banco con buenas oportunidades de compras préstamos,positive
1,2023-09-22,"Es una porquería de aplicación,ingreso todos mis datos y ni así me permite accesar.Sino van a capacitar a sus empleados como se debe mínimo hagan que su aplicación funcione bien para no tener que tomarnos la molestia de ir a una sucursal.",negative
5,2023-09-22,Algo bien,positive
1,2023-09-22,no deja ingresar por medio de huawei,negative
5,2023-09-22,RECOMIENDO ESTA APP,positive
5,2023-09-22,Excelente atención y servicio felicitaciones.,positive
1,2023-09-22,"Asco de aplicación, tarda en abrir, siempre falla",negative
5,2023-09-22,Una buena ocasión. Para transferir dinero a cual quier hora. Pará una urgencia,mixed
4,2023-09-22,Excelente,positive
4,2023-09-22,algunos botones en la aplicación no están etiquetados es decir que no tiene nombre es necesario etiquetar todos los botonespara que los lectores de pantalla que utilizamos nos verbalicen lo que dicenestoy hablando por las personas invidentes claropueden hacer la app más accesible,neutral
5,2023-09-22,Bueno ??,positive
1,2023-09-22,Lenta,negative
5,2023-09-22,Fácil de usar,positive
1,2023-09-22,Me desapareció mi dinero.,negative
1,2023-09-22,"Mala, lenta. Mientras todas mi demás aplicaciones funcionan bien y sin problemas, está porquería me dice ""Para continuar operando, revise su conexión"". Jajajajajajaja. Buen turco para culpar al usuario de la ineficiencia de su app.",negative
1,2023-09-22,De un día al otro solo dejo de funcionar y ya no abre la aplicación,negative
1,2023-09-22,La peor aplicacion de banco,negative
2,2023-09-22,No puedo enviar dinero,negative
5,2023-09-22,Excelente,positive
5,2023-09-22,Hermosa aplicación se las recomiendo amigos,positive
1,2023-09-22,No abre La app,negative
2,2023-09-22,"Es muy fácil usarla, de eso no me quejo, el problema es con todos los trámites que tienes que hacer para poder operar, la última actualización pésimo que tengo que ir activar mis servicio de nuevo solo porque cambié de teléfono teniendo años en uso. Van de mal en peor.",negative
5,2023-09-22,App excelente,positive
5,2023-09-22,Muy amigable la app,positive
1,2023-09-22,"Si pudiera darle menos de una ,lo haría! Se me cerro la sección así sola y ahora no puedo acceder ala banca ,hago mi registro nuevamente y me pone que datos incorrectos,hace unos meses era hasta cierto punto buena y te sacaba de apuros, ahora esta pésimo el servicio.",negative
2,2023-09-22,"Era muy buena aplicación pero ahora tengo que cambiar el horario como si fuera el de verano, es muy incomodo andar cambiando horario cada que tengo que hacer una transferencia",negative
1,2023-09-22,Mala,negative
1,2023-09-21,Pésima app no carga nada cada actualización está peor,negative
3,2023-09-21,"Muchas gracias, por el servicio de apoyarme con magníficas ofertas.",positive
4,2023-09-21,Bueno,positive
5,2023-09-21,Excelente,positive
5,2023-09-21,Ecxelente,positive
1,2023-09-21,Esta fallando mucho,negative
1,2023-09-21,No veo necesario aceptar las opciones,negative
5,2023-09-21,Super,positive
5,2023-09-21,Muy buena,positive
5,2023-09-21,Es un servicio muy competente excelente servicio,positive
5,2023-09-21,Buena Dan un buen servicio,positive
3,2023-09-21,No tiene mucha seguridad y tal cual te la pueden robar en menos de un minuto,negative
5,2023-09-21,Muy buena llevo dos años usándola en todo tipo de operaciones y es jenial,positive
2,2023-09-21,Es muy lenta,negative
5,2023-09-21,Me a sido muy útil... Puedo ver mi información al instante y casi nunca me falla la aplicación,positive
5,2023-09-21,muy bien app,positive
4,2023-09-21,Todo bien,positive
5,2023-09-21,Excelente,positive
5,2023-09-21,Magnifico me encanta,positive
4,2023-09-21,Hasta ahorita sin fallas...,positive
5,2023-09-21,Excelente,positive
2,2023-09-21,Demasiado lenta,negative
5,2023-09-21,Excelente,positive
1,2023-09-21,E batallo mucho ya no me deja hacer el registro de mi tarjet,negative
4,2023-09-21,Agradecido muy confiable muy agradecido,positive
5,2023-09-21,Exelente,positive
1,2023-09-21,Está muy mal para poderme registrar ya la instale varias veces y no funciona me dice que ya excedi los intento cuando ni una vez me a llegado el cogió de verificación,negative
5,2023-09-21,Te protege tu dinero,positive
2,2023-09-21,"Funcionaba super bien, hasta que me pidió actualizar, ahora me marca que debo acudir a tienda, así será siempre?",negative
5,2023-09-21,Demasiado complicado ??,mixed
5,2023-09-21,Estoy muy contenta con la aplicación ??,positive
